nombre|direccion|aforo
Wintergarten Varieté|Columbiadamm 13-21 Berlin 10965 Germany|null
Heimathafen|Gneisenaustraße 2a Berlin 10961 Germany|null
Waldbühne|Glockenturmstr. 1 Berlin 14053 Germany|null
C-Club|Potsdamer Strasse 96 Berlin 10785 Germany|null
Clash|Karl-Marx-Straße 141 Berlin 12043 Germany|null
Kammerspiele, Neues Haus, Nachtline|Marheinekeplatz 1 Berlin 10961 Germany|null
Luisenplatz|Falckenbergstraße 1 München 80539 Germany|null
Olympiastadion|Stahnsdorfer Str. 76-78 Potsdam 14482 Germany|null
Anhaltisches Theater Dessau|Masurenallee Berlin 14055 Germany|null
Lindenpark|Wilhelm-Staab-Straße 10-11 Potsdam 14467 Germany|null
IFA-Sommergarten|Olympischer Platz 3 Berlin 14053 Germany|null
Waschhaus|Dessau-Rosslau Germany|null
Passionskirche|Potsdam Germany|null
Heimathafen Neukölln|Schiffbauergasse 1 Potsdam 14467 Germany|null
Nikolaisaal|Berlin Germany|null
C-Halle|Columbiadamm 9-11 Berlin 10965 Germany|null
