artista|ciudad|ubicacion|fecha_evento|hora|precio
Axel Rudi Pell+ Special Guest: Mob Rules BERLIN|Berlin|Huxleys Neue Welt|2016-04-19|8:00pm|null
Modern Baseball|Berlin|Cassiopeia|2016-04-19|8:00pm|null
Dr. Dog|Berlin|Privatclub|2016-04-19|8:00pm|null
svalbard, viva belgrado, tidal sleep|Berlin|Tiefgrund|2016-04-19|10:00pm|null
Hell|Berlin|Koma F|2016-04-20|null|null
Demoscene Time Machine|Berlin|Urban Spree|2016-04-20|6:00pm|null
PVRIS|Berlin|Fritzclub im Postbahnhof|2016-04-20|8:00pm|null
Juliette and the Licks|Berlin|SO36|2016-04-20|8:00pm|null
Hans Zimmer Live On Tour 2016|Berlin|Mercedes-Benz Arena|2016-04-20|8:00pm|null
Stereo Total|Berlin|Lido|2016-04-20|8:30pm|null
Lucius|Berlin|Privatclub|2016-04-21|null|null
VICE House Party|Berlin|Monarch|2016-04-21|null|null
Xavier Rudd|Berlin|Huxleys Neue Welt|2016-04-21|null|null
Radiation City|Berlin|Berghain|2016-04-21|null|null
Night Birds / Diät / Thee Oops|Berlin|SO36|2016-04-21|null|null
"""KRAKOW NIGHTS"" BRÖTZMANN--SWELL--NILSSEN-LOVE"|Berlin|Sowieso|2016-04-21|7:00pm|null
The Return Of The One Man Army Tour 2016|Berlin|Columbia Club|2016-04-21|8:00pm|null
Drangsal|Berlin|Badehaus Szimpla Musiksalon|2016-04-21|8:00pm|null
Jupiter Jones|Berlin|Magnet Club|2016-04-21|9:00pm|null
Saga|Berlin|Huxleys Neue Welt|2016-04-22|null|null
Ron Evans Group|Berlin|die Kiste|2016-04-22|null|null
Jamie Woon|Berlin|Heimathafen Neukölln|2016-04-22|null|null
Heisskalt|Berlin|Auster-Club|2016-04-22|null|null
Uncle M Fest|Berlin|Cassiopeia|2016-04-22|6:30pm|null
Nisse|Berlin|Bi Nuu|2016-04-22|8:00pm|null
HIGH Tour 2016|Berlin|Magnet Club|2016-04-22|8:00pm|null
Headz up vol. Xlvlll|Berlin|BASSY|2016-04-22|9:00pm|null
Kaput Krauts|Berlin|://about blank|2016-04-22|10:00pm|null
Newmen|Berlin|Glashaus|2016-04-23|null|null
De/Vision-Pre-Release Show|Berlin|Lido|2016-04-23|8:00pm|null
Phantom Winter|Berlin|Schokoladen|2016-04-23|8:00pm|null
Huun-Huur-Tu|Berlin|Passionskirche|2016-04-23|8:00pm|null
Primordial|Berlin|Huxleys Neue Welt|2016-04-23|8:00pm|null
VAyL + ZQKMGDZ|Berlin|Tiefgrund|2016-04-23|9:00pm|null
Isolation Berlin|Berlin|Bi Nuu|2016-04-23|10:00pm|null
Das Flug|Berlin|://about blank|2016-04-23|10:00pm|null
Recycle presents: RONI SIZE & KRUST present FULL CYCLE|Berlin|Gretchen|2016-04-23|11:30pm|null
RECYCLE: RONI SIZE & KRUST present FULL CYCLE|Berlin|Gretchen|2016-04-23|11:30pm|null
Back to the Roots Tour 2016|Berlin|Postbahnhof|2016-04-24|7:00pm|null
Stereo Total|Berlin|Lido|2016-04-24|8:30pm|null
Teleman|Berlin|Privatclub|2016-04-25|null|null
Kimya Dawson|Berlin|Roter Salon|2016-04-25|null|null
LOFT Concerts presents MATT SIMONS *LIVE*|Berlin|Gretchen|2016-04-25|7:00pm|null
LOFT Concerts presents MATT SIMONS *LIVE*|Berlin|Gretchen|2016-04-25|7:00pm|null
Mission of Burma|Berlin|Bi Nuu|2016-04-25|8:00pm|null
Treetop Flyers|Berlin|Grüner Salon|2016-04-25|8:00pm|null
Stereo Total|Berlin|Lido|2016-04-25|8:30pm|null
Trixie Whitley|Berlin|Columbia Club|2016-04-26|null|null
Spark Tour|Potsdam|Nikolaisaal|2016-04-26|8:00pm|null
Road To Groezrock|Berlin|Bi Nuu|2016-04-26|8:00pm|null
